repository_id,commit_sha,stratum,workflow_source,working_directory,container_image,bootstrap_command,primary_command,health_criterion,timeout_seconds,approval_status,reviewer_notes
node-express,18e5985b8a9d5e8423db0a9121f22bdaecd5b120,node,package.json,.,node:22-bookworm,npm install,npm run test,primary command exits 0,900,pending_human_review,Heuristic candidate; verify against README before execution.
node-koa,52d5e8ff5ac79f2479463b53df2999900ae95115,node,package.json,.,node:22-bookworm,npm ci,npm run test,primary command exits 0,900,pending_human_review,Heuristic candidate; verify against README before execution.
node-fastify,9d2914857906a98b6366266417d6527ab8e5e06f,node,package.json,.,node:22-bookworm,npm install,npm run test,primary command exits 0,900,pending_human_review,Heuristic candidate; verify against README before execution.
node-hapi,d4f93d80e6acadb0000f1cf67f9b1b5992e8a8cc,node,package.json,.,node:22-bookworm,npm install,npm run test,primary command exits 0,900,pending_human_review,Heuristic candidate; verify against README before execution.
node-axios,b32880af48017457a1203ab2e63720902d3b71b3,node,package.json,.,node:22-bookworm,npm ci,npm run test,primary command exits 0,900,pending_human_review,Heuristic candidate; verify against README before execution.
node-chalk,aa06bb5ac3f14df9fda8cfb54274dfc165ddfdef,node,package.json,.,node:22-bookworm,npm install,npm run test,primary command exits 0,900,pending_human_review,Heuristic candidate; verify against README before execution.
node-got,a5b76bffb33d5fa8b0d1393cce410b88e7c2b848,node,package.json,.,node:22-bookworm,npm install,npm run test,primary command exits 0,900,pending_human_review,Heuristic candidate; verify against README before execution.
node-commander,ba6d13ddb4243e5913367734f8c159089ffe7834,node,package.json,.,node:22-bookworm,npm ci,npm run test,primary command exits 0,900,pending_human_review,Heuristic candidate; verify against README before execution.
node-yargs,437f3a4e0f4166e1f1a3ce023b0331159582746d,node,package.json,.,node:22-bookworm,npm install,npm run test,primary command exits 0,900,pending_human_review,Heuristic candidate; verify against README before execution.
node-vitest,a973eaebb561e75cb174775d1cb5dce68531eaab,node,package.json,.,node:22-bookworm,corepack enable && pnpm install --frozen-lockfile,pnpm run test,primary command exits 0,900,pending_human_review,Heuristic candidate; verify against README before execution.
node-vite,a2fff212d9ec6838c2b046e5bcc900d4334df3ff,node,package.json,.,node:22-bookworm,corepack enable && pnpm install --frozen-lockfile,pnpm run test,primary command exits 0,900,pending_human_review,Heuristic candidate; verify against README before execution.
node-eslint,970cea62b295d931a4109abedeb21ba192d3f2be,node,package.json,.,node:22-bookworm,npm install,npm run test,primary command exits 0,900,pending_human_review,Heuristic candidate; verify against README before execution.
node-prettier,3751f82fc6d44492f26164c6fa18cfa7f6137b28,node,package.json,.,node:22-bookworm,corepack enable && yarn install --frozen-lockfile,yarn run test,primary command exits 0,900,pending_human_review,Heuristic candidate; verify against README before execution.
node-socketio,6bb2e7f5fb7c548f0776328b4a19719723e27efd,node,package.json,.,node:22-bookworm,npm ci,npm pack --dry-run,primary command exits 0,900,pending_human_review,Heuristic candidate; verify against README before execution.
node-sequelize,c7700944925914dd936e96ad2dabb4dbdf7e9477,node,package.json,.,node:22-bookworm,corepack enable && yarn install --frozen-lockfile,yarn run build,primary command exits 0,900,pending_human_review,Heuristic candidate; verify against README before execution.
node-json-server,89a34a44b7a6a5311dc84f3b8a1b8b45c0905aea,node,package.json,.,node:22-bookworm,corepack enable && pnpm install --frozen-lockfile,pnpm run test,primary command exits 0,900,pending_human_review,Heuristic candidate; verify against README before execution.
node-lint-staged,cd11fec419c59b4900aab194f288adf6bb4afdd1,node,package.json,.,node:22-bookworm,npm ci,npm run test,primary command exits 0,900,pending_human_review,Heuristic candidate; verify against README before execution.
node-semver,8640bd68f1653e504b53e9be4030eccdfe4c307a,node,package.json,.,node:22-bookworm,npm install,npm run test,primary command exits 0,900,pending_human_review,Heuristic candidate; verify against README before execution.
node-glob,cac5faf8af111b743bbf6a13f44b294140e6e711,node,package.json,.,node:22-bookworm,npm ci,npm run test,primary command exits 0,900,pending_human_review,Heuristic candidate; verify against README before execution.
node-zod,912f0f51b0ced654d0069741e7160834dca742ee,node,package.json,.,node:22-bookworm,corepack enable && pnpm install --frozen-lockfile,pnpm run test,primary command exits 0,900,pending_human_review,Heuristic candidate; verify against README before execution.
python-flask,36e4a824f340fdee7ed50937ba8e7f6bc7d17f81,python,pyproject.toml,.,python:3.12-bookworm,python -m pip install --disable-pip-version-check -e .,python -m pytest -q,test collection and execution exit 0,900,pending_human_review,Heuristic candidate; verify against README before execution.
